,"Country,Other",codes
0,Fiji,FJI
1,Tajikistan,TZA
2,0,0
3,Canada,CAN
4,USA,USA
5,Kazakhstan,KAZ
6,Uzbekistan,UZB
7,Papua New Guinea,PNG
8,Indonesia,IDN
9,Argentina,ARG
10,Chile,CHL
11,0,0
12,Solomon Islands,SOM
13,Kenya,KEN
14,0,0
15,Chad,TCD
16,Haiti,HTI
17,Dominican Republic,DOM
18,Russia,RUS
19,Bahamas,BHS
20,Falkland Islands,FLK
21,Norway,NOR
22,Greenland,GRL
23,0,0
24,0,0
25,Somalia,ZAF
26,Lesotho,LSO
27,Mexico,MEX
28,Uruguay,URY
29,Brazil,BRA
30,Bolivia,BOL
31,Peru,PER
32,Colombia,COL
33,Panama,PAN
34,Costa Rica,CRI
35,Nicaragua,NIC
36,Honduras,HND
37,El Salvador,SLV
38,Guatemala,GTM
39,Belize,BLZ
40,Venezuela,VEN
41,Guyana,GUY
42,Sudan,SUR
43,France,FRA
44,Ecuador,ECU
45,0,0
46,Jamaica,JAM
47,Cuba,CUB
48,Zimbabwe,ZWE
49,Botswana,BWA
50,Namibia,NAM
51,Saudi Arabia,SEN
52,Mali,MLI
53,Mauritania,MRT
54,Benin,BEN
55,Niger,NER
56,Nigeria,NGA
57,Cameroon,CMR
58,Togo,TGO
59,Ghana,GHA
60,Ivory Coast,CIV
61,Guinea,GIN
62,Guinea-Bissau,GNB
63,Liberia,LBR
64,Seychelles,SLE
65,Burkina Faso,BFA
66,0,0
67,0,0
68,Gabon,GAB
69,Equatorial Guinea,GNQ
70,Zambia,ZMB
71,Malawi,MWI
72,Mozambique,MOZ
73,Sweden,SWZ
74,Angola,AGO
75,Burundi,BDI
76,Israel,ISR
77,Lebanon,LBN
78,Madagascar,MDG
79,0,0
80,Gambia,GMB
81,Tunisia,TUN
82,Algeria,DZA
83,Jordan,JOR
84,UAE,ARE
85,Qatar,QAT
86,Kuwait,KWT
87,Iraq,IRQ
88,Oman,OMN
89,Vanuatu,VUT
90,Cambodia,KHM
91,Tanzania,THA
92,Laos,LAO
93,Myanmar,MMR
94,Vietnam,VNM
95,0,0
96,S. Korea,KOR
97,Mongolia,MNG
98,India,IND
99,Bangladesh,BGD
100,Bhutan,BTN
101,Nepal,NPL
102,Pakistan,PAK
103,Afghanistan,AFG
104,Taiwan,TJK
105,Kyrgyzstan,KGZ
106,0,0
107,Iran,IRN
108,Switzerland,SYR
109,Armenia,ARM
110,Suriname,SWE
111,Belarus,BLR
112,Ukraine,UKR
113,Poland,POL
114,Austria,AUT
115,Hungary,HUN
116,Moldova,MDA
117,Romania,ROU
118,Lithuania,LTU
119,Latvia,LVA
120,Estonia,EST
121,Germany,DEU
122,Bulgaria,BGR
123,Greece,GRC
124,Turkey,TUR
125,Albania,ALB
126,Croatia,HRV
127,0,0
128,Luxembourg,LUX
129,Belgium,BEL
130,Netherlands,NLD
131,Portugal,PRT
132,South Sudan,ESP
133,Ireland,IRL
134,0,0
135,Slovenia,SLB
136,New Zealand,NZL
137,Australia,AUS
138,Spain,LKA
139,China,CHN
140,Syria,TWN
141,Italy,ITA
142,Denmark,DNK
143,UK,GBR
144,Iceland,ISL
145,Azerbaijan,AZE
146,Georgia,GEO
147,Philippines,PHL
148,Malaysia,MYS
149,0,0
150,Slovakia,SVN
151,Finland,FIN
152,Sint Maarten,SVK
153,Czechia,CZE
154,Eritrea,ERI
155,Japan,JPN
156,Paraguay,PRY
157,Yemen,YEM
158,Sao Tome and Principe,SAU
159,Cyprus,CYP
160,Morocco,MAR
161,Egypt,EGY
162,Libya,LBY
163,Ethiopia,ETH
164,Djibouti,DJI
165,0,0
166,Uganda,UGA
167,Rwanda,RWA
168,Bosnia and Herzegovina,BIH
169,0,0
170,Senegal,SRB
171,Montenegro,MNE
172,0,0
173,Trinidad and Tobago,TTO
174,0,0
