,website,url,headline,img
0,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#Optimizely-Move-Summary-Test,What you need to know,0
1,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#h_16d2067f7e19656d6c826d90496c796a,"Mexico's coronavirus death toll surpasses 200,000",0
2,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#h_7b39eae25d1c2d714719c5ec004d755f,Chile goes into new lockdown amid rapid surge in coronavirus cases,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/7081a8ae-530f-4a35-81c0-5c7a604d5820.jpg
3,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#h_f06e3a46c401b1f59aaede662e187e46,Three additional regions in France added for strictest measures ,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/21c7f20c-53fc-42bb-9826-8f4e42a061f6.jpg
4,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#h_b6e2916e4c4a30f0be255fed1420b7ad,Arizona lifts remaining Covid-19 restrictions on businesses and opens vaccinations,0
5,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#h_ac0c1ed91a2eeb7f33c4eaca68a1c17b,COVAX announces vaccine delivery delays from Serum Institute of India and AstraZeneca,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/25a482ee-d21a-44b5-89e4-38aa31bd0d61.jpg
6,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#h_44ac1e0b54a6b312cf26bc8a7f80b809,California expands vaccine eligibility to all adults starting April 15,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/20fa8994-ef88-41e8-942c-cc47e5414fce.jpg
7,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#h_b138682c2ecf696e1c3880b37fb3e3b8,Peru records highest daily number of Covid-19 cases since pandemic began,0
8,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#h_cd909f7b41311ace6b10601b519ebe4f,United Kingdom extends emergency Covid-19 laws for 6 months,0
9,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-03-25-21/index.html#h_9c1fccfff506b8dd5b220ab0c4f3593b,European Medicines Agency sets up group to examine blood clot links,0
